name,name_short,code,position
Seth Curry,S. Curry,curryse01,G
KJ Simpson,K. Simpson,simpskj01,G
Kobe Brown,K. Brown,brownko01,F
Derrick Jones Jr.,D. Jones Jr.,jonesde02,F
Amir Coffey,A. Coffey,coffeam01,F
Nicolas Batum,N. Batum,batumni01,F
Kai Jones,K. Jones,joneska01,C
Kris Dunn,K. Dunn,dunnkr01,G
Norman Powell,N. Powell,powelno01,F
Trentyn Flowers,T. Flowers,flowetr01,F
Bones Hyland,B. Hyland,hylanbo01,G
Jordan Miller,J. Miller,millejo02,F
Kevin Porter Jr.,K. Porter Jr.,porteke02,F
Ivica Zubac,I. Zubac,zubaciv01,C
Cam Christie,C. Christie,chrisca02,G
Terance Mann,T. Mann,mannte01,F
Monte Morris,M. Morris,morrimo01,G
Mason Plumlee,M. Plumlee,plumlma01,C
Bradley Beal,B. Beal,bealbr01,G
Tyus Jones,T. Jones,jonesty01,G
Devin Booker,D. Booker,bookede01,G
Royce O'Neale,R. O'Neale,onealro01,F
James Harden,J. Harden,hardeja01,G
Jusuf Nurkić,J. Nurkic,nurkiju01,C
Damion Lee,D. Lee,leeda03,G
Ryan Dunn,R. Dunn,dunnry01,F
Bol Bol,B. Bol,bolbo01,F
Grayson Allen,G. Allen,allengr01,G
Kevin Durant,K. Durant,duranke01,F
Oso Ighodaro,O. Ighodaro,ighodos01,F
Jaime Jaquez Jr.,J. Jaquez Jr.,jaqueja01,F
Bam Adebayo,B. Adebayo,adebaba01,C
Nikola Jović,N. Jovic,jovicni01,F
Haywood Highsmith,H. Highsmith,highsha01,F
Duncan Robinson,D. Robinson,robindu01,F
Terry Rozier,T. Rozier,roziete01,G
Thomas Bryant,T. Bryant,bryanth01,C
Kel'el Ware,K. Ware,wareke01,C
Alec Burks,A. Burks,burksal01,F
Kevin Love,K. Love,loveke01,C
Tyler Herro,T. Herro,herroty01,G
Jimmy Butler,J. Butler,butleji01,F
Pelle Larsson,P. Larsson,larsspe01,G
Josh Richardson,J. Richardson,richajo01,F
Dru Smith,D. Smith,smithdr01,G
Jett Howard,J. Howard,howarje01,F
Anthony Black,A. Black,blackan01,G
Wendell Carter Jr.,W. Carter Jr.,cartewe01,C
Kentavious Caldwell-Pope,K. Caldwell-Pope,caldwke01,G
Franz Wagner,F. Wagner,wagnefr01,F
Jalen Suggs,J. Suggs,suggsja01,G
Cory Joseph,C. Joseph,josepco01,G
Gary Harris,G. Harris,harriga01,G
Moritz Wagner,M. Wagner,wagnemo01,C
Jonathan Isaac,J. Isaac,isaacjo01,F
Goga Bitadze,G. Bitadze,bitadgo01,C
Paolo Banchero,P. Banchero,banchpa01,F
Cole Anthony,C. Anthony,anthoco01,G
Caleb Houstan,C. Houstan,houstca01,F
Javonte Green,J. Green,greenja02,F
Herbert Jones,H. Jones,joneshe01,F
Brandon Ingram,B. Ingram,ingrabr01,F
Dejounte Murray,D. Murray,murrade01,G
Daniel Theis,D. Theis,theisda01,C
Jordan Hawkins,J. Hawkins,hawkijo01,G
